title,brand,three_star,four_star,five_star,reviewsCount,price,productPosition
"Valentines Day Gifts for Her Wife, Valentines Gifts for Her, Wife Valentines Day Gifts, Gifts for Her, Girlfriend Gifts, Birthday Gifts for Her, 20 oz Insulated Tumbler, Valentines Day Her Gifts",OOPERAY,0.07,0.1,0.77,398,3.99,124
"Valentines Day Cards for Kids - 32 Crazy Loop Reusable Drinking Straws with Colorful Cards, Valentine Party Favors for Boys & Girls, Kids Exchange Cards for School Classroom, Ideal Valentine Gifts",V-Opitos,0.1,0.15,0.65,219,17.99,129
LParkin Drive Safe Keychain Handsome I Love You Trucker Husband Gift for Husband Dad Gift Valentines Day Stocking Stuffer,LParkin,0.03,0.08,0.88,11974,,115
"Ptyfavor Valentines Day Gifts for Kids Class - 36 Pack Valentines Gift Cards with Squishies Animal Toys for School Class Exchange Gifts,  Boys Girls Toddlers Valentines Gifts",Ptyfavor,0.08,0.09,0.8,271,19.95,121
"ASELFAD Morse Code Bracelets for Women,Friendships Inspirational gifts for Women Mom Wife Friends Female Best Friend Sister Grandma",ASELFAD,0.04,0.11,0.8,3553,9.99,120
Valentines Day Gifts for Her Heart Earrigns Love Heart Message Printed Lucite Arch Dangle Earrings Galentines Day Gifts Date Party Jewelry,BSJELL,0.05,0.1,0.8,51,,117
Anditoy 24 PCS Valentines Cards with Mini Heart Pop Toys for Kids School Class Classroom Valentines Day Gifts Prizes Party Favors,Anditoy,0.05,0.14,0.78,204,9.99,118
"Greenke Valentines Day Rose Gifts for Her, Galaxy Purple Butterfly Rose in Glass Dome, Light Up Forever Rose Birthday Gifts for Women Mom Grandma Wife, Eternal Rose Gift for Mother's Day Anniversary",Greenke,0.04,0.1,0.83,2272,22.89,106
GIFTINBOX 24 Pack Valentines Day Cards with Heart Shaped Glasses Valentines Day Gifts For Kids Valentines Classroom Exchange Valentines Cards For Kids Classroom,GIFTINBOX,0.03,0.06,0.88,155,23.99,98
"Valentines Day Gifts for Kids, 30 Pack Valentines Day Cards for Kids with Mini Heart Pop Fidget Toys for Boys Girls, Valentines Party Favors Classroom School Exchange Treat Prizes Activity for Class",UDOGI,0.08,0.12,0.76,90,15.99,101
